relationship-id,relationship-type,person-1-id,person-2-id,parent-lineage,parent-type,partner-type,relationship-order,date-start-value,date-start-descriptor,date-end-value,date-end-descriptor,end-reason,place-id,notes,source-last-modified-date,source-last-modified-by
R010,partner,P012,P617,,,marriage,2,1997-09-06,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0012,parent-child,P004,P012,lineal,biological,,12,,,,,,,,2026-08-26,McFamily
RN0012,parent-child,P611,P012,non-lineal,biological,,12,,,,,,,,2026-08-26,McFamily
R011,partner,P013,P618,,,marriage,1,1948-01-17,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0013,parent-child,P033,P013,lineal,biological,,13,,,,,,,,2026-08-26,McFamily
RN0013,parent-child,P639,P013,non-lineal,biological,,13,,,,,,,,2026-08-26,McFamily
R013,partner,P014,P620,,,marriage,1,1969-01-22,day,,UNKNOWN,divorce,,,2026-08-26,McFamily
R012,partner,P014,P619,,,marriage,2,1981-08-15,day,,,,,,2026-08-26,McFamily
RL0014,parent-child,P013,P014,lineal,biological,,14,,,,,,,,2026-08-26,McFamily
RN0014,parent-child,P618,P014,non-lineal,biological,,14,,,,,,,,2026-08-26,McFamily
R014,partner,P015,P621,,,marriage,1,1994-02-19,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0015,parent-child,P014,P015,lineal,biological,,15,,,,,,,,2026-08-26,McFamily
RN0015,parent-child,P620,P015,non-lineal,biological,,15,,,,,,,,2026-08-26,McFamily
R015,partner,P016,P622,,,marriage,1,1993-09-11,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0016,parent-child,P014,P016,lineal,biological,,16,,,,,,,,2026-08-26,McFamily
RN0016,parent-child,P620,P016,non-lineal,biological,,16,,,,,,,,2026-08-26,McFamily
R016,partner,P017,P623,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0017,parent-child,P013,P017,lineal,biological,,17,,,,,,,,2026-08-26,McFamily
RN0017,parent-child,P618,P017,non-lineal,biological,,17,,,,,,,,2026-08-26,McFamily
R017,partner,P018,P624,,,marriage,1,1977-05-07,day,,,,,,2026-08-26,McFamily
RL0018,parent-child,P013,P018,lineal,biological,,18,,,,,,,,2026-08-26,McFamily
RN0018,parent-child,P618,P018,non-lineal,biological,,18,,,,,,,,2026-08-26,McFamily
R018,partner,P019,P625,,,marriage,1,1957-11-16,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0019,parent-child,P033,P019,lineal,biological,,19,,,,,,,,2026-08-26,McFamily
RN0019,parent-child,P639,P019,non-lineal,biological,,19,,,,,,,,2026-08-26,McFamily
R019,partner,P020,P626,,,marriage,1,1990-03-10,day,,,,,,2026-08-26,McFamily
RL0020,parent-child,P019,P020,lineal,biological,,20,,,,,,,,2026-08-26,McFamily
RN0020,parent-child,P625,P020,non-lineal,biological,,20,,,,,,,,2026-08-26,McFamily
R020,partner,P021,P627,,,marriage,1,1993-07-24,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0021,parent-child,P019,P021,lineal,biological,,21,,,,,,,,2026-08-26,McFamily
RN0021,parent-child,P625,P021,non-lineal,biological,,21,,,,,,,,2026-08-26,McFamily
R021,partner,P022,P628,,,marriage,1,1967-11-18,day,,,,,,2026-08-26,McFamily
RL0022,parent-child,P033,P022,lineal,biological,,22,,,,,,,,2026-08-26,McFamily
RN0022,parent-child,P639,P022,non-lineal,biological,,22,,,,,,,,2026-08-26,McFamily
R022,partner,P023,P629,,,marriage,1,2001-05-19,day,,,,,,2026-08-26,McFamily
RL0023,parent-child,P022,P023,lineal,biological,,23,,,,,,,,2026-08-26,McFamily
RN0023,parent-child,P628,P023,non-lineal,biological,,23,,,,,,,,2026-08-26,McFamily
RL0024,parent-child,P022,P024,lineal,biological,,24,,,,,,,,2026-08-26,McFamily
RN0024,parent-child,P628,P024,non-lineal,biological,,24,,,,,,,,2026-08-26,McFamily
R024,partner,P025,P631,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R023,partner,P025,P630,,,marriage,2,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0025,parent-child,P033,P025,lineal,biological,,25,,,,,,,,2026-08-26,McFamily
RN0025,parent-child,P639,P025,non-lineal,biological,,25,,,,,,,,2026-08-26,McFamily
R025,partner,P026,P632,,,marriage,1,1961,year,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R026,partner,P026,P633,,,marriage,2,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0026,parent-child,P025,P026,lineal,biological,,26,,,,,,,,2026-08-26,McFamily
R027,partner,P027,P634,,,marriage,1,1991-09-21,day,,,,,,2026-08-26,McFamily
RL0027,parent-child,P026,P027,lineal,biological,,27,,,,,,,,2026-08-26,McFamily
RN0027,parent-child,P632,P027,non-lineal,biological,,27,,,,,,,,2026-08-26,McFamily
R029,partner,P028,P636,,,marriage,1,1987-05-01,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R028,partner,P028,P635,,,marriage,2,2001-07-20,day,,,,,,2026-08-26,McFamily
RL0028,parent-child,P026,P028,lineal,biological,,28,,,,,,,,2026-08-26,McFamily
RN0028,parent-child,P632,P028,non-lineal,biological,,28,,,,,,,,2026-08-26,McFamily
RL0029,parent-child,P026,P029,lineal,biological,,29,,,,,,,,2026-08-26,McFamily
RN0029,parent-child,P633,P029,non-lineal,biological,,29,,,,,,,,2026-08-26,McFamily
RL0030,parent-child,P026,P030,lineal,biological,,30,,,,,,,,2026-08-26,McFamily
RN0030,parent-child,P633,P030,non-lineal,biological,,30,,,,,,,,2026-08-26,McFamily
R030,partner,P031,P637,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0031,parent-child,P025,P031,lineal,biological,,31,,,,,,,,2026-08-26,McFamily
R031,partner,P032,P638,,,marriage,1,1987-09-25,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0032,parent-child,P025,P032,lineal,biological,,32,,,,,,,,2026-08-26,McFamily
R032,partner,P033,P639,,,marriage,1,1912-11-27,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0033,parent-child,P227,P033,lineal,biological,,33,,,,,,,,2026-08-26,McFamily
RN0033,parent-child,P839,P033,non-lineal,biological,,33,,,,,,,,2026-08-26,McFamily
R033,partner,P034,P640,,,marriage,1,1909-06-10,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0034,parent-child,P227,P034,lineal,biological,,34,,,,,,,,2026-08-26,McFamily
RN0034,parent-child,P839,P034,non-lineal,biological,,34,,,,,,,,2026-08-26,McFamily
R034,partner,P035,P641,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0035,parent-child,P227,P035,lineal,biological,,35,,,,,,,,2026-08-26,McFamily
RN0035,parent-child,P839,P035,non-lineal,biological,,35,,,,,,,,2026-08-26,McFamily
R035,partner,P036,P642,,,marriage,1,1908-12-31,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0036,parent-child,P227,P036,lineal,biological,,36,,,,,,,,2026-08-26,McFamily
RN0036,parent-child,P839,P036,non-lineal,biological,,36,,,,,,,,2026-08-26,McFamily
R036,partner,P037,P643,,,marriage,1,1919-08-20,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0037,parent-child,P227,P037,lineal,biological,,37,,,,,,,,2026-08-26,McFamily
RN0037,parent-child,P839,P037,non-lineal,biological,,37,,,,,,,,2026-08-26,McFamily
R037,partner,P038,P644,,,marriage,1,1920-06-24,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0038,parent-child,P227,P038,lineal,biological,,38,,,,,,,,2026-08-26,McFamily
RN0038,parent-child,P839,P038,non-lineal,biological,,38,,,,,,,,2026-08-26,McFamily
R038,partner,P039,P645,,,marriage,1,1936-10-24,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0039,parent-child,P034,P039,lineal,biological,,39,,,,,,,,2026-08-26,McFamily
RN0039,parent-child,P640,P039,non-lineal,biological,,39,,,,,,,,2026-08-26,McFamily
R040,partner,P040,P647,,,marriage,1,1960-06-??,partial,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R039,partner,P040,P646,,,marriage,2,1973-05-01,day,,,,,,2026-08-26,McFamily
RL0040,parent-child,P039,P040,lineal,biological,,40,,,,,,,,2026-08-26,McFamily
R041,partner,P041,P648,,,marriage,1,2003-06-30,day,,,,,,2026-08-26,McFamily
RL0041,parent-child,P039,P041,lineal,biological,,41,,,,,,,,2026-08-26,McFamily
R043,partner,P042,P650,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R042,partner,P042,P649,,,marriage,2,1999-06-11,day,,,,,,2026-08-26,McFamily
RL0042,parent-child,P040,P042,lineal,biological,,42,,,,,,,,2026-08-26,McFamily
RN0042,parent-child,P647,P042,non-lineal,biological,,42,,,,,,,,2026-08-26,McFamily
R044,partner,P043,P651,,,marriage,1,1990-02-03,day,,,,,,2026-08-26,McFamily
RL0043,parent-child,P040,P043,lineal,biological,,43,,,,,,,,2026-08-26,McFamily
RN0043,parent-child,P647,P043,non-lineal,biological,,43,,,,,,,,2026-08-26,McFamily
R045,partner,P044,P652,,,marriage,1,1768,year,,UNKNOWN,death,,,2026-08-26,McFamily
R046,partner,P045,P653,,,marriage,1,1947-12-14,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0045,parent-child,P037,P045,lineal,biological,,45,,,,,,,,2026-08-26,McFamily
RN0045,parent-child,P643,P045,non-lineal,biological,,45,,,,,,,,2026-08-26,McFamily
R047,partner,P046,P654,,,marriage,1,1993-01-04,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0046,parent-child,P045,P046,lineal,biological,,46,,,,,,,,2026-08-26,McFamily
RN0046,parent-child,P653,P046,non-lineal,biological,,46,,,,,,,,2026-08-26,McFamily
R048,partner,P047,P655,,,marriage,1,1974-08-10,day,,,,,,2026-08-26,McFamily
RL0047,parent-child,P045,P047,lineal,biological,,47,,,,,,,,2026-08-26,McFamily
RN0047,parent-child,P653,P047,non-lineal,biological,,47,,,,,,,,2026-08-26,McFamily
R049,partner,P048,P656,,,marriage,1,1932-04-30,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0048,parent-child,P036,P048,lineal,biological,,48,,,,,,,,2026-08-26,McFamily
RN0048,parent-child,P642,P048,non-lineal,biological,,48,,,,,,,,2026-08-26,McFamily
R050,partner,P049,P657,,,marriage,1,1957-02-15,day,,,,,,2026-08-26,McFamily
RL0049,parent-child,P048,P049,lineal,biological,,49,,,,,,,,2026-08-26,McFamily
RN0049,parent-child,P656,P049,non-lineal,biological,,49,,,,,,,,2026-08-26,McFamily
R051,partner,P050,P658,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0050,parent-child,P049,P050,lineal,biological,,50,,,,,,,,2026-08-26,McFamily
RN0050,parent-child,P657,P050,non-lineal,biological,,50,,,,,,,,2026-08-26,McFamily
R052,partner,P051,P659,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0051,parent-child,P049,P051,lineal,biological,,51,,,,,,,,2026-08-26,McFamily
RN0051,parent-child,P657,P051,non-lineal,biological,,51,,,,,,,,2026-08-26,McFamily
R053,partner,P052,P660,,,marriage,1,1960-07-09,day,,,,,,2026-08-26,McFamily
RL0052,parent-child,P048,P052,lineal,biological,,52,,,,,,,,2026-08-26,McFamily
RN0052,parent-child,P656,P052,non-lineal,biological,,52,,,,,,,,2026-08-26,McFamily
R054,partner,P053,P661,,,marriage,1,1986-05-17,day,,,,,,2026-08-26,McFamily
RL0053,parent-child,P052,P053,lineal,biological,,53,,,,,,,,2026-08-26,McFamily
RN0053,parent-child,P660,P053,non-lineal,biological,,53,,,,,,,,2026-08-26,McFamily
R055,partner,P054,P662,,,marriage,1,1965-11-06,day,,,,,,2026-08-26,McFamily
RL0054,parent-child,P048,P054,lineal,biological,,54,,,,,,,,2026-08-26,McFamily
RN0054,parent-child,P656,P054,non-lineal,biological,,54,,,,,,,,2026-08-26,McFamily
R056,partner,P055,P663,,,marriage,1,1956-07-01,day,,,,,,2026-08-26,McFamily
RL0055,parent-child,P048,P055,lineal,biological,,55,,,,,,,,2026-08-26,McFamily
RN0055,parent-child,P656,P055,non-lineal,biological,,55,,,,,,,,2026-08-26,McFamily
R057,partner,P056,P664,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0056,parent-child,P055,P056,lineal,biological,,56,,,,,,,,2026-08-26,McFamily
RN0056,parent-child,P663,P056,non-lineal,biological,,56,,,,,,,,2026-08-26,McFamily
RL0057,parent-child,P055,P057,lineal,biological,,57,,,,,,,,2026-08-26,McFamily
RN0057,parent-child,P663,P057,non-lineal,biological,,57,,,,,,,,2026-08-26,McFamily
R058,partner,P058,P665,,,marriage,1,1936-09-24,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0058,parent-child,P036,P058,lineal,biological,,58,,,,,,,,2026-08-26,McFamily
RN0058,parent-child,P642,P058,non-lineal,biological,,58,,,,,,,,2026-08-26,McFamily
R059,partner,P059,P666,,,marriage,1,1960-06-11,day,,,,,,2026-08-26,McFamily
RL0059,parent-child,P058,P059,lineal,biological,,59,,,,,,,,2026-08-26,McFamily
RN0059,parent-child,P665,P059,non-lineal,biological,,59,,,,,,,,2026-08-26,McFamily
R060,partner,P060,P667,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0060,parent-child,P059,P060,lineal,biological,,60,,,,,,,,2026-08-26,McFamily
RN0060,parent-child,P666,P060,non-lineal,biological,,60,,,,,,,,2026-08-26,McFamily
R061,partner,P061,P668,,,marriage,1,1994-12-10,day,,,,,,2026-08-26,McFamily
RL0061,parent-child,P059,P061,lineal,biological,,61,,,,,,,,2026-08-26,McFamily
RN0061,parent-child,P666,P061,non-lineal,biological,,61,,,,,,,,2026-08-26,McFamily
R062,partner,P062,P669,,,marriage,1,1995-11-18,day,,,,,,2026-08-26,McFamily
RL0062,parent-child,P059,P062,lineal,biological,,62,,,,,,,,2026-08-26,McFamily
RN0062,parent-child,P666,P062,non-lineal,biological,,62,,,,,,,,2026-08-26,McFamily
R063,partner,P063,P670,,,marriage,1,1994-10-29,day,,,,,,2026-08-26,McFamily
RL0063,parent-child,P059,P063,lineal,biological,,63,,,,,,,,2026-08-26,McFamily
RN0063,parent-child,P666,P063,non-lineal,biological,,63,,,,,,,,2026-08-26,McFamily
R064,partner,P064,P671,,,marriage,1,1939-05-30,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0064,parent-child,P036,P064,lineal,biological,,64,,,,,,,,2026-08-26,McFamily
RN0064,parent-child,P642,P064,non-lineal,biological,,64,,,,,,,,2026-08-26,McFamily
R065,partner,P065,P672,,,marriage,1,1963-01-11,day,,,,,,2026-08-26,McFamily
RL0065,parent-child,P064,P065,lineal,biological,,65,,,,,,,,2026-08-26,McFamily
RN0065,parent-child,P671,P065,non-lineal,biological,,65,,,,,,,,2026-08-26,McFamily
R067,partner,P066,P674,,,marriage,1,1985-06-22,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R066,partner,P066,P673,,,marriage,2,1991-08-10,day,,,,,,2026-08-26,McFamily
RL0066,parent-child,P065,P066,lineal,biological,,66,,,,,,,,2026-08-26,McFamily
RN0066,parent-child,P672,P066,non-lineal,biological,,66,,,,,,,,2026-08-26,McFamily
R068,partner,P067,P675,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0067,parent-child,P064,P067,lineal,biological,,67,,,,,,,,2026-08-26,McFamily
R069,partner,P068,P676,,,marriage,1,1970-07-12,day,,,,,,2026-08-26,McFamily
RL0068,parent-child,P064,P068,lineal,biological,,68,,,,,,,,2026-08-26,McFamily
RN0068,parent-child,P671,P068,non-lineal,biological,,68,,,,,,,,2026-08-26,McFamily
R070,partner,P069,P677,,,marriage,1,1975-10-03,day,,,,,,2026-08-26,McFamily
RL0069,parent-child,P064,P069,lineal,biological,,69,,,,,,,,2026-08-26,McFamily
RN0069,parent-child,P671,P069,non-lineal,biological,,69,,,,,,,,2026-08-26,McFamily
R072,partner,P070,P679,,,marriage,1,1946-11-24,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R071,partner,P070,P678,,,marriage,2,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0070,parent-child,P036,P070,lineal,biological,,70,,,,,,,,2026-08-26,McFamily
RN0070,parent-child,P642,P070,non-lineal,biological,,70,,,,,,,,2026-08-26,McFamily
R073,partner,P071,P680,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0071,parent-child,P070,P071,lineal,biological,,71,,,,,,,,2026-08-26,McFamily
RN0071,parent-child,P678,P071,non-lineal,biological,,71,,,,,,,,2026-08-26,McFamily
R074,partner,P072,P681,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0072,parent-child,P070,P072,lineal,biological,,72,,,,,,,,2026-08-26,McFamily
RN0072,parent-child,P678,P072,non-lineal,biological,,72,,,,,,,,2026-08-26,McFamily
R075,partner,P073,P682,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0073,parent-child,P070,P073,lineal,biological,,73,,,,,,,,2026-08-26,McFamily
RN0073,parent-child,P678,P073,non-lineal,biological,,73,,,,,,,,2026-08-26,McFamily
R077,partner,P074,P684,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R076,partner,P074,P683,,,marriage,2,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0074,parent-child,P035,P074,lineal,biological,,74,,,,,,,,2026-08-26,McFamily
RN0074,parent-child,P641,P074,non-lineal,biological,,74,,,,,,,,2026-08-26,McFamily
R078,partner,P075,P685,,,marriage,1,1953-06-06,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0075,parent-child,P074,P075,lineal,biological,,75,,,,,,,,2026-08-26,McFamily
RN0075,parent-child,P684,P075,non-lineal,biological,,75,,,,,,,,2026-08-26,McFamily
R079,partner,P076,P686,,,marriage,1,1988-07-02,day,,,,,,2026-08-26,McFamily
RL0076,parent-child,P075,P076,lineal,biological,,76,,,,,,,,2026-08-26,McFamily
RN0076,parent-child,P685,P076,non-lineal,biological,,76,,,,,,,,2026-08-26,McFamily
R080,partner,P077,P687,,,marriage,1,1983-03-26,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0077,parent-child,P075,P077,lineal,biological,,77,,,,,,,,2026-08-26,McFamily
RN0077,parent-child,P685,P077,non-lineal,biological,,77,,,,,,,,2026-08-26,McFamily
R081,partner,P078,P688,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0078,parent-child,P075,P078,lineal,biological,,78,,,,,,,,2026-08-26,McFamily
RN0078,parent-child,P685,P078,non-lineal,biological,,78,,,,,,,,2026-08-26,McFamily
R082,partner,P079,P689,,,marriage,1,1988-06-18,day,,,,,,2026-08-26,McFamily
RL0079,parent-child,P075,P079,lineal,biological,,79,,,,,,,,2026-08-26,McFamily
RN0079,parent-child,P685,P079,non-lineal,biological,,79,,,,,,,,2026-08-26,McFamily
R083,partner,P080,P690,,,marriage,1,1953-12-18,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0080,parent-child,P074,P080,lineal,biological,,80,,,,,,,,2026-08-26,McFamily
RN0080,parent-child,P684,P080,non-lineal,biological,,80,,,,,,,,2026-08-26,McFamily
R084,partner,P081,P691,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0081,parent-child,P080,P081,lineal,biological,,81,,,,,,,,2026-08-26,McFamily
RN0081,parent-child,P690,P081,non-lineal,biological,,81,,,,,,,,2026-08-26,McFamily
R085,partner,P082,P692,,,marriage,1,1984-03-31,day,,,,,,2026-08-26,McFamily
RL0082,parent-child,P080,P082,lineal,biological,,82,,,,,,,,2026-08-26,McFamily
RN0082,parent-child,P690,P082,non-lineal,biological,,82,,,,,,,,2026-08-26,McFamily
R086,partner,P083,P693,,,marriage,1,1927-04-27,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0083,parent-child,P035,P083,lineal,biological,,83,,,,,,,,2026-08-26,McFamily
RN0083,parent-child,P641,P083,non-lineal,biological,,83,,,,,,,,2026-08-26,McFamily
R087,partner,P084,P694,,,marriage,1,1950-08-27,day,,,,,,2026-08-26,McFamily
RL0084,parent-child,P083,P084,lineal,biological,,84,,,,,,,,2026-08-26,McFamily
RN0084,parent-child,P693,P084,non-lineal,biological,,84,,,,,,,,2026-08-26,McFamily
R088,partner,P085,P695,,,marriage,1,1972-07-16,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0085,parent-child,P084,P085,lineal,biological,,85,,,,,,,,2026-08-26,McFamily
RN0085,parent-child,P694,P085,non-lineal,biological,,85,,,,,,,,2026-08-26,McFamily
R089,partner,P086,P696,,,marriage,1,1974-12-11,day,,,,,,2026-08-26,McFamily
RL0086,parent-child,P084,P086,lineal,biological,,86,,,,,,,,2026-08-26,McFamily
RN0086,parent-child,P694,P086,non-lineal,biological,,86,,,,,,,,2026-08-26,McFamily
R090,partner,P087,P697,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0087,parent-child,P084,P087,lineal,biological,,87,,,,,,,,2026-08-26,McFamily
RN0087,parent-child,P694,P087,non-lineal,biological,,87,,,,,,,,2026-08-26,McFamily
R091,partner,P088,P698,,,marriage,1,1981-10-10,day,,,,,,2026-08-26,McFamily
RL0088,parent-child,P084,P088,lineal,biological,,88,,,,,,,,2026-08-26,McFamily
RN0088,parent-child,P694,P088,non-lineal,biological,,88,,,,,,,,2026-08-26,McFamily
R092,partner,P089,P699,,,marriage,1,1949-06-18,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0089,parent-child,P083,P089,lineal,biological,,89,,,,,,,,2026-08-26,McFamily
RN0089,parent-child,P693,P089,non-lineal,biological,,89,,,,,,,,2026-08-26,McFamily
R093,partner,P090,P700,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0090,parent-child,P089,P090,lineal,biological,,90,,,,,,,,2026-08-26,McFamily
RN0090,parent-child,P699,P090,non-lineal,biological,,90,,,,,,,,2026-08-26,McFamily
R094,partner,P091,P701,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0091,parent-child,P089,P091,lineal,biological,,91,,,,,,,,2026-08-26,McFamily
RN0091,parent-child,P699,P091,non-lineal,biological,,91,,,,,,,,2026-08-26,McFamily
R096,partner,P092,P703,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R095,partner,P092,P702,,,marriage,2,1993-06-25,day,,,,,,2026-08-26,McFamily
RL0092,parent-child,P089,P092,lineal,biological,,92,,,,,,,,2026-08-26,McFamily
RN0092,parent-child,P699,P092,non-lineal,biological,,92,,,,,,,,2026-08-26,McFamily
R097,partner,P093,P704,,,marriage,1,1998-06-20,day,,,,,,2026-08-26,McFamily
RL0093,parent-child,P092,P093,lineal,biological,,93,,,,,,,,2026-08-26,McFamily
RN0093,parent-child,P703,P093,non-lineal,biological,,93,,,,,,,,2026-08-26,McFamily
R098,partner,P094,P705,,,marriage,1,1997-11-01,day,,,,,,2026-08-26,McFamily
RL0094,parent-child,P092,P094,lineal,biological,,94,,,,,,,,2026-08-26,McFamily
RN0094,parent-child,P703,P094,non-lineal,biological,,94,,,,,,,,2026-08-26,McFamily
R099,partner,P095,P706,,,marriage,1,2001-04-28,day,,,,,,2026-08-26,McFamily
RL0095,parent-child,P092,P095,lineal,biological,,95,,,,,,,,2026-08-26,McFamily
RN0095,parent-child,P703,P095,non-lineal,biological,,95,,,,,,,,2026-08-26,McFamily
R100,partner,P096,P707,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0096,parent-child,P083,P096,lineal,biological,,96,,,,,,,,2026-08-26,McFamily
RN0096,parent-child,P693,P096,non-lineal,biological,,96,,,,,,,,2026-08-26,McFamily
R102,partner,P097,P709,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
R101,partner,P097,P708,,,marriage,2,1996-06-14,day,,,,,,2026-08-26,McFamily
RL0097,parent-child,P096,P097,lineal,biological,,97,,,,,,,,2026-08-26,McFamily
RN0097,parent-child,P707,P097,non-lineal,biological,,97,,,,,,,,2026-08-26,McFamily
R103,partner,P098,P710,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R104,partner,P098,P711,,,marriage,2,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0098,parent-child,P097,P098,lineal,biological,,98,,,,,,,,2026-08-26,McFamily
R105,partner,P099,P712,,,marriage,1,,,,,,,,2026-08-26,McFamily
